location_name__c,Name,point__Longitude__s,point__Latitude__s
東京都/中央区,セブンイレブン日本橋大伝馬町店,139.77092,35.67849
東京都/あきる野市/舘谷,ジェイ・ショップ五日市店,139.23335,35.72697
東京都/稲城市/大丸,セブンイレブン稲城大丸東店,139.48581,35.64898
東京都/昭島市/中神町,サンクス昭島中神町新畑店,139.37883,35.71267
東京都/西多摩郡/奥多摩町/小丹波,セブンイレブン奥多摩古里店,139.13338,35.83604
東京都/西多摩郡/奥多摩町/氷川,デーリーヤマザキ奥多摩店,139.09116,35.83822
東京都/西多摩郡/奥多摩町/氷川,タイムズマート氷川店,139.09116,35.83822
東京都/西多摩郡/日の出町/平井,セブンイレブン阿伎留医療センタ－前店,139.27,35.74575
東京都/西多摩郡/日の出町/平井,セブンイレブン日の出西平井店,139.27,35.74575
東京都/西東京市/芝久保町,ファミリーマート田無芝久保店,139.52556,35.72396
東京都/青梅市/千ヶ瀬町,セブンイレブン青梅千ケ瀬6丁目店,139.2784,35.78339
東京都/足立区/大谷田,セブンイレブン足立大谷田店,139.84612,35.77901
東京都/足立区/東伊興,ローソン東伊興町店,139.78349,35.8036
東京都/足立区/南花畑,セブンイレブン足立南花畑2丁目店,139.82497,35.78787
東京都/町田市/山崎町,セブンイレブン町田山崎町西店,139.43755,35.57619
東京都/町田市/小山町,サンクス町田小山町店,139.37111,35.60023
東京都/町田市/成瀬,ファミリーマート町田成瀬街道店,139.47507,35.54715
東京都/町田市/能ケ谷町,ファミリーマート町田鶴川街道店,139.47923,35.58476
東京都/町田市/能ケ谷町,ローソン鶴川駅北口店,139.47923,35.58476
東京都/町田市/木曽西,セブンイレブン町田桜美林大学前店,139.4183,35.56493
東京都/町田市/木曽町,ポプラ町田木曽町店,139.42012,35.56725
東京都/町田市/木曽町,セブンイレブン町田市木曽町店,139.42012,35.56725
東京都/町田市/野津田町,ファミリーマート町田芝溝街道店,139.44783,35.58599
東京都/八王子市/宇津木町,サンクス八王子バイパス店,139.35146,35.68231
東京都/八王子市/小宮町,セブンイレブン八王子小宮店,139.37112,35.68843
東京都/八王子市/東浅川町,セブンイレブン八王子高尾駅南口店,139.2926,35.6445
